LOGS446	Humanitarian Logistics	29-11-2023 , Wed	10:30-12:30	C206+C207+C208+C210+C211
MGT122	Business Statistics	29-11-2023 , Wed	10:30-12:30	H402+H403+H404+H405
GLS200	German Language Skills: Reading and Writing	29-11-2023 , Wed	10:30-12:30	H305+H306
IE0533|IE583	Supply Chain Engineering	29-11-2023 , Wed	10:30-12:30	C104+C107+C108+C127
BM371	Numerical Methods for Engineers	29-11-2023 , Wed	10:30-12:30	H301+H302+H303+H304
AFL99	Arabic as a Foreign Language	29-11-2023 , Wed	10:30-12:30	H205+H206
MATH102	Calculus II	29-11-2023 , Wed	10:30-12:30	H101+H102+H103+H104+H105
MATH205	Differential Equations	29-11-2023 , Wed	10:30-12:30	H201+H202+H203+H204
LOGS460	Contemporary Issues in Logistics	30-11-2023 , Thu	08:30-10:30	H205+H206
MILS100	Military Science *For Jordanian Only	30-11-2023 , Thu	08:30-10:30	H101+H102+H103+H104+H105+H106+H201+H202+H203+H204
LOGS101	Introduction to Logistics	30-11-2023 , Thu	10:30-12:30	H302+H303+H304+H305+H306+H402+H403+H404+H405+H503+H504
CE331	Signals and Systems	30-11-2023 , Thu	10:30-12:30	C127+C129+C206+C207
CS117	Object Oriented Programming	30-11-2023 , Thu	10:30-12:30	H205+H206+H301
ME0212	Electrical Circuits and Machines		30-11-2023 , Thu	10:30-12:30	H202+H203
MGT418	Quality Management		30-11-2023 , Thu	10:30-12:30	H105+H106+H201
ME0346	Instrumentation & Measurements	30-11-2023 , Thu	10:30-12:30	H101+H102+H103+H104
CHEM103	General Chemistry I	02-12-2023 , Sat	08:30-10:30	H101+H102+H103+H104+H105+H106+H201+H202+H203+H204
IE0344|IE325	Manufacturing Processes	02-12-2023 , Sat	08:30-10:30	H503+H504+H505
GERL101B1	German I B1- Track	02-12-2023 , Sat	08:30-10:30	Computer labs
ACC332	Management Accounting	02-12-2023 , Sat	08:30-10:30	H402+H403+H404
ACC101	Principles of Accounting I	02-12-2023 , Sat	08:30-10:30	H205+H206+H301+H302+H303+H304+H305+H306
